Nome_Curso,Nome_Departamento,Nome_Disciplina
Estatística,Exatas,"Cálculo 1"
Estatística,Exatas,"Cálculo 2"
Estatística,Exatas,Probabilidade
Estatística,Exatas,"Equações Lineares"
Finanças,Exatas,"Matemática Financeira"
Finanças,Exatas,"Admin. e Contabilidade"
Finanças,Exatas,"Mercado de Capitais"
"Engenharia Elétrica",Exatas,"Cálculo 1"
"Engenharia Elétrica",Exatas,"Circuitos Elétricos"
"Engenharia Elétrica",Exatas,"Instalações Elétricas"
Marketing,Administração,"Elementos do Marketing"
Marketing,Administração,"Mapeamento do Público"
Marketing,Administração,"Criação e Melhorias"
Marketing,Administração,"Mídias Sociais"
"Gestão de RH",Administração,"Admin. e Contabilidade"
"Gestão de RH",Administração,"Introd. Psicologia"
"Gestão de RH",Administração,"Gestão de Competências"
"Gestão de RH",Administração,"Identif. Realoc. de Talentos"
"Gestão Comercial",Administração,"Admin. e Contabilidade"
"Gestão Comercial",Administração,"Elementos do Marketing"
"Gestão Comercial",Administração,"Comportam. do Consumidor"
"Gestão Comercial",Administração,"Comércio exterior"
"Gestão Comercial",Administração,"Gestão de Projetos"
Letras,Administração,"Concepções de Linguagem"
Letras,Administração,"Gêneros Literários"
Letras,Administração,"Variação Linguística"
Letras,Administração,"Literaturas na Educação Básica"
Inglês,Idiomas,"Inglês Básico"
Inglês,Idiomas,"Inglês Intermediário"
Inglês,Idiomas,"Inglês Avançado"
Espanhol,Idiomas,"Espanhol Básico"
Espanhol,Idiomas,"Espanhol Intermediário"
Espanhol,Idiomas,"Espanhol Avançado"
Alemão,Idiomas,"Alemão Básico"
Alemão,Idiomas,"Alemão Intermediário"
Alemão,Idiomas,"Alemão Avançado"
Francês,Idiomas,"Francês Básico"
Francês,Idiomas,"Francês Intermediário"
Francês,Idiomas,"Francês Avançado"
"Ciência da Computação",TI,"Cálculo 1"
"Ciência da Computação",TI,Probabilidade
"Ciência da Computação",TI,Python
"Ciência da Computação",TI,"Data Science e IA"
"Ciência da Computação",TI,"Banco de Dados"
